id,class,order,family,species,iucn,criteria,population,systems,realm
56039302,Reptilia,Squamata,Diploglossidae,Ophiodes vertebralis,LC,,Unknown,Terrestrial,Neotropical
56039334,Reptilia,Squamata,Dipsadidae,Atractus bocki,DD,,Unknown,Terrestrial,Neotropical
56039393,Reptilia,Squamata,Dipsadidae,Erythrolamprus sagittifer,LC,,Stable,Terrestrial,Neotropical
56039543,Reptilia,Squamata,Dipsadidae,Tachymenis trigonatus,LC,,Stable,Terrestrial,Neotropical
56039823,Reptilia,Squamata,Dipsadidae,Apographon orestes,NT,B2ab(iii),Decreasing,Terrestrial,Neotropical
56039849,Reptilia,Squamata,Elapidae,Micrurus altirostris,LC,,Unknown,Terrestrial,Neotropical
56040327,Reptilia,Squamata,Elapidae,Micrurus baliocoryphus,LC,,Unknown,Terrestrial,Neotropical
56040356,Reptilia,Squamata,Elapidae,Micrurus brasiliensis,LC,,Unknown,Terrestrial,Neotropical
56040450,Reptilia,Squamata,Elapidae,Micrurus catamayensis,EN,"B1ab(iii,v)",Decreasing,Terrestrial,Neotropical
56040596,Reptilia,Squamata,Elapidae,Micrurus circinalis,LC,,Stable,Terrestrial,Neotropical
56040806,Reptilia,Squamata,Elapidae,Micrurus corallinus,LC,,Unknown,Terrestrial,Neotropical
56041084,Reptilia,Squamata,Elapidae,Micrurus frontalis,LC,,Unknown,Terrestrial,Neotropical
56041167,Reptilia,Squamata,Elapidae,Micrurus meridensis,EN,"B1ab(i,iii)+2ab(i,iii)",Decreasing,Terrestrial,Neotropical
56041200,Reptilia,Squamata,Elapidae,Micrurus pacaraimae,LC,,Stable,Terrestrial,Neotropical
56041230,Reptilia,Squamata,Elapidae,Micrurus petersi,DD,,Unknown,Terrestrial,Neotropical
56041302,Reptilia,Squamata,Gymnophthalmidae,Vanzosaura rubricauda,LC,,Unknown,Terrestrial,Neotropical
56050402,Reptilia,Squamata,Leptotyphlopidae,Trilepida acutirostris,LC,,Unknown,Terrestrial,Neotropical
56050411,Reptilia,Squamata,Leptotyphlopidae,Siagonodon borrichianus,LC,,Unknown,Terrestrial,Neotropical
56050441,Reptilia,Squamata,Leptotyphlopidae,Siagonodon cupinensis,LC,,Unknown,Terrestrial,Neotropical
56050458,Reptilia,Squamata,Leptotyphlopidae,Siagonodon septemstriatus,LC,,Stable,Terrestrial,Neotropical
56050540,Reptilia,Squamata,Liolaemidae,Liolaemus abaucan,LC,,Stable,Terrestrial,Neotropical
56050556,Reptilia,Squamata,Liolaemidae,Liolaemus abdalai,LC,,Stable,Terrestrial,Neotropical
56050570,Reptilia,Squamata,Liolaemidae,Liolaemus acostai,LC,,Unknown,Terrestrial,Neotropical
56050597,Reptilia,Squamata,Liolaemidae,Liolaemus albiceps,LC,,Stable,Terrestrial,Neotropical
56050644,Reptilia,Squamata,Liolaemidae,Liolaemus andinus,LC,,Stable,Terrestrial,Neotropical
56050657,Reptilia,Squamata,Liolaemidae,Liolaemus anomalus,LC,,Unknown,Terrestrial,Neotropical
56050760,Reptilia,Squamata,Liolaemidae,Liolaemus antumalguen,LC,,Unknown,Terrestrial,Neotropical
56050788,Reptilia,Squamata,Liolaemidae,Liolaemus araucaniensis,LC,,Stable,Terrestrial,Neotropical
56050827,Reptilia,Squamata,Liolaemidae,Liolaemus audituvelatus,VU,B1ab(iii); D2,Unknown,Terrestrial,Neotropical
56050992,Reptilia,Squamata,Liolaemidae,Liolaemus avilai,LC,,Stable,Terrestrial,Neotropical
56051196,Reptilia,Squamata,Liolaemidae,Liolaemus azarai,CR,B2ab(iii),Unknown,Terrestrial,Neotropical
56051421,Reptilia,Squamata,Liolaemidae,Liolaemus baguali,LC,,Stable,Terrestrial,Neotropical
56051706,Reptilia,Squamata,Liolaemidae,Liolaemus bellii,LC,,Stable,Terrestrial,Neotropical
56051720,Reptilia,Squamata,Liolaemidae,Liolaemus bibronii,LC,,Stable,Terrestrial,Neotropical
56051749,Reptilia,Squamata,Liolaemidae,Liolaemus bitaeniatus,LC,,Stable,Terrestrial,Neotropical
